REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEOGRY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,MEASURE,CANCER,M_CAN_HCAHPS_OVERALL,HCAHPS SCORE,OVERALL,HCAHPS Score (Process),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,MEASURE,CANCER,M_CAN_HCAHPS_OVERALL,HCAHPS SCORE,OVERALL,HCAHPS Score (Process),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,MEASURE,CANCER,M_CAN_HCAHPS_OVERALL,HCAHPS SCORE,OVERALL,HCAHPS Score (Process),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,MEASURE,CANCER,M_CAN_HSTAR_OVERALL,HCAHPS STAR RATING,OVERALL,HCAHPS Star Rating (Process),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,MEASURE,CANCER,M_CAN_HSTAR_OVERALL,HCAHPS STAR RATING,OVERALL,HCAHPS Star Rating (Process),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_SVC_HC,PATIENT SERVICES,HOSPICE CARE,Hospice Care (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_SVC_HC,PATIENT SERVICES,HOSPICE CARE,Hospice Care (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_ADV_IGRT,ADVANCED TECHNOLOGIES,IMAGE-GUIDED RADIATION THERAPY,Image-guided radiation therapy (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_ADV_IGRT,ADVANCED TECHNOLOGIES,IMAGE-GUIDED RADIATION THERAPY,Image-Guided Radiation Therapy (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_ADV_IMRT,ADVANCED TECHNOLOGIES,INTENSITY-MODULATED RADIATION THERAPY,Intensity-modulated radiation therapy (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_ADV_IMRT,ADVANCED TECHNOLOGIES,INTENSITY-MODULATED RADIATION THERAPY,Intensity-Modulated Radiation Therapy (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,MEASURE,CANCER,M_CAN_INT_OVERALL,INTENSIVISTS,OVERALL,Intensivists (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,MEASURE,CANCER,M_CAN_INT_OVERALL,INTENSIVISTS,OVERALL,Intensivists (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_MRE_ORMA,MORTALITY - RANDOM EFFECTS,MORTALITY - ODDS RATIO - MEDICARE ADVANTAGE,Mortality - Odds Ratio - Medicare Advantage (Outcomes),N/A,DECIMAL_2,LOWER,,,,,
